         7x15E                    (7x15E.dat)
         v2024-0915
         Simulation Date: 02/05/2025

         AIRFOIL AERO DATA GENERATED USING:  POLARS                        

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       63.82      1.9256      0.8106      0.0673      0.1599       0.027       0.341       0.129      20.158       0.038       0.573       2.897        0.16      42572.    0.0871
       66.48      2.0058      0.7861      0.0540      0.1378       0.023       0.294       0.103      17.367       0.033       0.459       2.697        0.16      43285.    0.0727
       69.14      2.0860      0.7401      0.0405      0.1142       0.019       0.243       0.078      14.397       0.027       0.345       2.442        0.17      44014.    0.0570
       71.80      2.1662      0.6537      0.0270      0.0894       0.015       0.191       0.052      11.271       0.022       0.230       2.077        0.17      44757.    0.0395
       74.46      2.2465      0.4759      0.0135      0.0636       0.011       0.135       0.026       8.014       0.015       0.115       1.458        0.17      45514.    0.0196
       77.12      2.3267      0.0055      0.0001      0.0369       0.006       0.079       0.000       4.657       0.009       0.001       0.016        0.17      46285.    0.0000



         PROP RPM =       6000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1490      0.1718       0.050       0.527       0.410      37.426       0.060       1.825       4.973        0.17      39296.    0.2671
        3.20      0.0804      0.0698      0.1483      0.1708       0.050       0.524       0.409      37.199       0.059       1.818       4.982        0.17      39395.    0.2670
        6.39      0.1608      0.1397      0.1480      0.1703       0.050       0.523       0.408      37.104       0.059       1.814       4.985        0.17      39522.    0.2668
        9.59      0.2411      0.2092      0.1481      0.1707       0.050       0.524       0.408      37.185       0.059       1.815       4.976        0.17      39680.    0.2664
       12.79      0.3215      0.2777      0.1486      0.1720       0.050       0.528       0.409      37.479       0.060       1.820       4.953        0.17      39872.    0.2656
       15.98      0.4019      0.3441      0.1494      0.1745       0.051       0.536       0.412      38.017       0.061       1.831       4.911        0.17      40100.    0.2641
       19.18      0.4823      0.4076      0.1506      0.1782       0.052       0.547       0.415      38.822       0.062       1.846       4.848        0.17      40365.    0.2618
       22.38      0.5626      0.4672      0.1521      0.1832       0.054       0.562       0.419      39.905       0.064       1.864       4.763        0.17      40668.    0.2584
       25.57      0.6430      0.5220      0.1538      0.1894       0.055       0.581       0.424      41.269       0.066       1.884       4.656        0.17      41009.    0.2540
       28.77      0.7234      0.5715      0.1556      0.1969       0.058       0.604       0.429      42.904       0.068       1.906       4.531        0.17      41389.    0.2486
       31.97      0.8038      0.6151      0.1573      0.2056       0.060       0.631       0.433      44.788       0.071       1.928       4.389        0.17      41806.    0.2422
       35.17      0.8842      0.6529      0.1589      0.2152       0.063       0.660       0.438      46.879       0.075       1.947       4.235        0.17      42260.    0.2349
       38.36      0.9645      0.6850      0.1601      0.2254       0.066       0.692       0.441      49.107       0.078       1.961       4.073        0.17      42751.    0.2267
       41.56      1.0449      0.7117      0.1606      0.2357       0.069       0.723       0.442      51.352       0.082       1.967       3.906        0.18      43278.    0.2178
       44.76      1.1253      0.7339      0.1599      0.2452       0.072       0.752       0.440      53.413       0.085       1.959       3.741        0.18      43839.    0.2081
       47.95      1.2057      0.7527      0.1576      0.2525       0.074       0.775       0.434      54.997       0.088       1.931       3.580        0.18      44436.    0.1977
       51.15      1.2861      0.7692      0.1532      0.2561       0.075       0.786       0.422      55.789       0.089       1.877       3.430        0.18      45067.    0.1868
       54.35      1.3664      0.7845      0.1466      0.2553       0.075       0.783       0.404      55.610       0.089       1.796       3.293        0.18      45730.    0.1754
       57.54      1.4468      0.7987      0.1381      0.2501       0.073       0.768       0.380      54.491       0.087       1.692       3.166        0.18      46425.    0.1637
       60.74      1.5272      0.8113      0.1282      0.2413       0.070       0.740       0.353      52.564       0.084       1.571       3.047        0.19      47147.    0.1518
       63.94      1.6076      0.8217      0.1172      0.2294       0.067       0.704       0.323      49.964       0.080       1.436       2.932        0.19      47896.    0.1396
       67.13      1.6879      0.8291      0.1055      0.2148       0.063       0.659       0.291      46.792       0.074       1.293       2.817        0.19      48670.    0.1273
       70.33      1.7683      0.8325      0.0932      0.1979       0.058       0.607       0.257      43.121       0.069       1.142       2.700        0.19      49466.    0.1147
       73.53      1.8487      0.8303      0.0804      0.1791       0.052       0.549       0.222      39.007       0.062       0.985       2.576        0.19      50285.    0.1016
